date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2
2014-08-29,3,2009-08-31,2014-08-29,1259,-3710.6480797767904,True,1,risk_on,1.0,1,risk_on,0.9968391446754161,,1.449887510310644e-42,1.0,5.767422528684075e-93,3.5187092742835127e-22,0.9968391446754161,0.0031608553245838743
2014-09-30,3,2009-09-30,2014-09-30,1259,-3423.040493189603,True,0,risk_on,1.0,0,risk_on,0.9968150912077327,,1.0,9.497484327598975e-71,1.415303204462415e-84,0.9968150912077327,0.003184908792267208,1.2473808027288612e-72
2014-10-31,3,2009-11-02,2014-10-31,1259,-3111.276547024728,True,2,risk_on,1.0,2,risk_on,0.9970758000023487,,3.163062933482846e-110,2.5075619772718472e-73,1.0,4.323915197543696e-75,0.0029241999976512734,0.9970758000023487
2014-11-28,3,2009-11-30,2014-11-28,1259,-2907.3295171487384,True,1,risk_on,1.0,1,risk_on,0.9908391177403836,,5.517886899553294e-97,1.0,2.644781086629282e-63,1.682652953973429e-65,0.9908391177403836,0.0091608822596163
2014-12-31,3,2009-12-31,2014-12-31,1259,-3672.1269270642492,True,1,defensive_risk_off,0.9999999999995453,1,defensive_risk_off,0.9801380252648603,,2.8866938123312546e-13,0.9999999999995453,6.747773612928967e-20,0.011920933869008027,0.9801380252648603,0.00794104086596568
2015-01-30,3,2010-02-01,2015-01-30,1259,-3579.180404549705,True,0,risk_on,1.0,0,risk_on,0.9973483615449398,,1.0,2.797865067398604e-143,1.2542352717840807e-187,0.9973483615449398,2.567566092217821e-119,0.002651638455060112
2015-02-27,3,2010-03-01,2015-02-27,1259,-3166.492929481676,True,0,inflation_rates_shock,1.0,0,inflation_rates_shock,0.9924737380703988,,1.0,7.542306024923262e-89,1.0976680803356722e-17,0.9924737380703988,0.0025089598561686996,0.005017302073432487
2015-03-31,3,2010-03-31,2015-03-31,1259,-3744.7677455667344,True,1,risk_on,1.0,1,risk_on,0.9974199796978772,,3.573155163819191e-76,1.0,1.1583324885604557e-80,0.0025800203021226842,0.9974199796978772,1.2882948078240811e-49
2015-04-30,3,2010-04-30,2015-04-30,1259,-3753.366973388498,True,0,risk_on,1.0,0,risk_on,0.9987062666787293,,1.0,4.4048970939893823e-82,6.912149079204335e-153,0.9987062666787293,4.4693982015029944e-44,0.00129373332127065
2015-05-29,3,2010-06-01,2015-05-29,1258,-4098.576309030021,True,0,risk_on,1.0,0,risk_on,0.9961266880941577,,1.0,2.5380494768173435e-112,5.88878309920934e-54,0.9961266880941577,0.0012911129981197534,0.0025821989077225863
