date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,current_prob_regime_3,current_prob_regime_4,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2,next_prob_regime_3,next_prob_regime_4
2012-10-31,5,2008-01-02,2012-10-31,1218,3183.6767692520075,True,3,mixed_or_neutral_3,1.0,3,mixed_or_neutral_3,0.9907234084530984,,1.2143660093496849e-18,8.159579148492438e-58,7.991780875388213e-100,1.0,0.0,0.006957499424562907,0.0023190921223388197,1.3158705330254962e-59,0.9907234084530984,1.3158704927850116e-59
2012-11-30,5,2008-01-02,2012-11-30,1239,3726.028172249254,True,2,recovery_or_normalization,1.0,2,recovery_or_normalization,0.9956150018137588,,4.7761890699213246e-122,4.5378371680928486e-45,1.0,0.0,2.196496453717608e-51,5.098129933708438e-47,0.0021924990931027556,0.9956150018137588,1.6516423870740065e-53,0.0021924990931383153
2012-12-31,5,2008-01-02,2012-12-31,1259,2875.9842561948644,True,1,inflation_rates_shock,0.9999999999668034,1,inflation_rates_shock,0.9875148796265799,,3.330140912427688e-11,0.9999999999668034,9.93297931097603e-36,2.998612516116433e-32,2.943523060428652e-228,0.008432630689609122,0.9875148796265799,0.004052489683682139,2.3373927279928846e-13,9.94366651722002e-35
2013-01-31,5,2008-01-31,2013-01-31,1260,3055.761764871738,True,1,mixed_or_neutral_1,0.9999999999995453,1,mixed_or_neutral_1,0.9909054087594128,,3.2947499687711497e-13,0.9999999999995453,4.078977028228557e-145,0.0,6.893043909299174e-218,0.0072757358350118385,0.9909054087594128,0.0018188554054502165,3.794360964359847e-146,2.2509505556763827e-162
2013-02-28,5,2008-02-28,2013-02-28,1260,3466.5381169318102,True,2,risk_on,1.0,2,risk_on,0.9969242985440476,,1.0222857834179439e-119,0.0,1.0,2.5906980977978206e-25,2.819215718514252e-75,4.405056994760185e-77,4.405056983555339e-77,0.9969242985440476,0.0030757014559523693,7.515019115459139e-28
2013-03-28,5,2008-03-28,2013-03-28,1260,2540.6181402608836,True,4,recovery_or_normalization,1.0,4,recovery_or_normalization,0.9912058472390843,,3.6141911879121474e-18,8.905083385343377e-165,0.0,1.0432544028808244e-202,1.0,0.007328619433861157,0.001465533327054448,1.712419398042939e-166,1.8215664012471001e-131,0.9912058472390843
2013-04-30,5,2008-04-30,2013-04-30,1259,3383.5659854650044,True,2,recovery_or_normalization,1.0,2,recovery_or_normalization,0.9911158507492758,,1.977186533898572e-29,0.0,1.0,1.0728347915933784e-48,1.3766440855966886e-126,0.00710737806956071,1.7301802017948738e-50,0.9911158507492758,0.0017767711811634982,1.730180288230348e-50
2013-05-31,5,2008-06-02,2013-05-31,1259,3168.9942103024723,True,0,risk_on,1.0,0,risk_on,0.9846852610730321,,1.0,6.024028155600027e-14,8.958448577121916e-65,1.0818504346486084e-104,0.0,0.9846852610730321,0.013129496821608924,0.0021852421054192423,1.316401219558224e-66,1.3164012166731634e-66
2013-06-28,5,2008-06-30,2013-06-28,1259,3314.697248670689,True,1,risk_on,1.0,1,risk_on,0.987971305417247,,0.0,1.0,4.3633707782144e-103,4.1554381643915417e-14,1.5106380103439583e-146,7.037066336679152e-105,0.987971305417247,0.0020038865546979315,0.010024808028096655,7.037066504074041e-105
2013-07-31,5,2008-07-31,2013-07-31,1259,4200.168787821597,True,2,risk_on,1.0,2,risk_on,0.9948487403205335,,1.106366456557699e-41,3.6894688537434235e-69,1.0,0.0,0.0,0.0034341584485085295,0.0017171012309580619,0.9948487403205335,0.0,2.219002215437371e-71
