date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,current_prob_regime_3,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2,next_prob_regime_3
2014-07-31,4,2009-07-31,2014-07-31,1259,-2495.1926898279553,True,1,risk_on,1.0,1,risk_on,0.9939838540127244,,7.466635915997838e-121,1.0,6.779493810861391e-89,1.4226635829891487e-16,8.95619829082974e-19,0.9939838540127244,4.478893771714993e-19,0.00601614598727578
2014-08-29,4,2009-08-31,2014-08-29,1259,-2613.2228520014696,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9872389227239275,,6.439263093806404e-23,1.0,1.799584022534084e-79,1.2368966055631605e-73,0.006380629064507408,0.9872389227239275,0.004253600222936958,0.0021268479886279836
2014-09-30,4,2009-09-30,2014-09-30,1259,-2427.688558553354,True,2,risk_on,0.9999999357742148,2,risk_on,0.9838394907497795,,6.422564769263557e-08,5.0125192838760645e-110,0.9999999357742148,5.172259780223905e-291,0.01616050876106296,1.630066776206588e-10,0.9838394907497795,3.260133403197746e-10
2014-10-31,4,2009-11-02,2014-10-31,1259,-2116.151913209648,True,1,inflation_rates_shock,0.9999999999968168,1,inflation_rates_shock,0.98519421860432,,3.389211273796331e-12,0.9999999999968168,2.684091122914358e-24,9.051452267104236e-109,0.01184602635115939,0.98519421860432,8.683895775081321e-15,0.0029597550447179244
2014-11-28,4,2009-11-30,2014-11-28,1259,-1925.8856428080196,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9810459227884677,,7.707876777461515e-51,1.0,6.396475542886399e-60,1.1260078692036074e-15,0.004737429380881594,0.9810459227884677,0.004737346239204861,0.009479301591447001
2014-12-31,4,2009-12-31,2014-12-31,1259,-2047.4125817283382,True,2,inflation_rates_shock,1.0,2,inflation_rates_shock,0.9800676979501414,,2.489983596995149e-24,1.7108098429944266e-52,1.0,4.3219540102452135e-19,0.0033216324296714917,0.0033217429064298677,0.9800676979501414,0.013288926713757298
2015-01-30,4,2010-02-01,2015-01-30,1259,-2063.9819333503046,True,3,inflation_rates_shock,1.0,3,inflation_rates_shock,0.97489241834167,,6.409934130419742e-208,2.8259524291457697e-19,7.484732675871165e-108,1.0,0.008367667738434859,0.01673991391989511,5.778525453824398e-22,0.97489241834167
2015-02-27,4,2010-03-01,2015-02-27,1259,-1906.7827767587826,True,1,recovery_or_normalization,1.0,1,recovery_or_normalization,0.9800009582079349,,5.0995469667047923e-42,1.0,5.442190695990215e-87,1.5323481314762962e-20,0.003332873420599698,0.9800009582079349,0.006666964117067004,0.009999204254398451
2015-03-31,4,2010-03-31,2015-03-31,1259,-1924.7013343114902,True,0,inflation_rates_shock,1.0,0,inflation_rates_shock,0.9878637235074226,,1.0,1.5712604147968197e-37,5.191259417773607e-23,8.448524253569885e-135,0.9878637235074226,5.193580597933233e-25,0.0060681453460846475,0.006068131146492813
2015-04-30,4,2010-04-30,2015-04-30,1259,-1880.6146792689703,True,0,inflation_rates_shock,1.0,0,inflation_rates_shock,0.9900778054419557,,1.0,1.017532726273258e-42,1.0043922018182067e-70,5.075306768510366e-20,0.9900778054419557,0.004961135698314264,0.0024805036778186695,0.002480555181911422
