date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2,prob_regime_3
2024-02-23,2,risk_on,2.994919839137498e-10,1.169046178951216e-08,0.9999999880092219,2.286148132727885e-76
2024-02-26,2,risk_on,4.540226348544666e-10,1.1264640185099885e-07,0.9999998868988833,1.2651085906105633e-76
2024-02-27,2,risk_on,5.043219668720753e-10,1.4195373361561922e-07,0.999999857542217,8.189026362246087e-77
2024-02-28,2,risk_on,1.9861749832094832e-10,1.5404071384900763e-07,0.9999998457606244,2.7899978523986224e-78
2024-02-29,2,risk_on,5.34857895666029e-10,2.7716627462341754e-07,0.9999997222985643,3.3437966972432028e-77
2024-03-01,2,risk_on,7.859203781418105e-09,4.7315033606910177e-07,0.9999995189901958,7.537670870880716e-78
2024-03-04,2,risk_on,1.321220879676466e-09,6.669917329708917e-07,0.9999993316871455,2.258311797078281e-80
2024-03-05,2,risk_on,1.2353911370421007e-09,1.5864539811913835e-07,0.9999998401199391,3.4456711013770014e-74
2024-03-06,2,risk_on,8.008287395834448e-10,4.1631320092692e-09,0.9999999950359779,6.502957217543482e-76
2024-03-07,2,risk_on,5.53862953807467e-10,5.657210936546876e-09,0.9999999937881512,1.0475489615464486e-76
2024-03-08,2,risk_on,3.9399796684300733e-10,1.3263129571778147e-09,0.999999998279236,1.1231681323040403e-79
2024-03-11,2,risk_on,5.3356893577710566e-11,7.162070631692413e-10,0.9999999992305675,2.716765589888857e-82
2024-03-12,2,risk_on,1.0385706539444841e-10,1.1321072222903847e-09,0.9999999987649062,1.4360008592159836e-80
2024-03-13,2,risk_on,7.299509870913868e-11,1.883287066818456e-09,0.9999999980445864,4.6926303880345793e-82
2024-03-14,2,risk_on,2.5820556836447513e-11,1.0132658485359114e-10,0.9999999998726707,3.4406080643559843e-85
2024-03-15,2,risk_on,3.012657026288444e-11,2.6991247692316196e-09,0.9999999972715159,4.479174430094404e-79
2024-03-18,2,risk_on,1.3091871519702574e-11,4.5374953632413255e-09,0.9999999954488885,1.7233898327427534e-79
2024-03-19,2,risk_on,1.98239627814696e-11,9.679108899327288e-10,0.9999999990122888,9.272474538234146e-80
2024-03-20,2,risk_on,6.95611852804917e-11,6.227541632383245e-10,0.999999999306965,1.3033110806282405e-78
2024-03-21,2,risk_on,9.766329710789449e-11,2.5482215054414233e-10,0.9999999996471161,1.8328187104711742e-78
2024-03-22,2,risk_on,1.1198726261517402e-10,1.0494529352125152e-10,0.9999999997835403,8.536561166619363e-84
2024-03-25,2,risk_on,3.5826058974087275e-11,5.314386449490916e-10,0.9999999994324753,7.254279139452972e-87
2024-03-26,2,risk_on,1.6984611245944767e-11,1.6653629372959687e-10,0.9999999998162821,3.373503816290848e-86
2024-03-27,2,risk_on,2.4277700154021023e-11,3.397813702359126e-11,0.9999999999417923,2.902273309107422e-88
2024-03-28,2,risk_on,6.322287323577022e-12,4.744585831750002e-11,0.9999999999454303,3.0506850272552808e-89
2024-04-01,2,risk_on,5.235335388074447e-12,8.459385753415748e-10,0.999999999148713,1.1283152713532304e-89
2024-04-02,2,risk_on,5.143594054795182e-12,4.324343502433506e-09,0.9999999956708052,6.085669229329414e-89
2024-04-03,2,risk_on,1.0441706841961982e-11,3.0250940604865954e-09,0.9999999969641067,5.185976191870012e-87
2024-04-04,2,risk_on,2.0697299130279694e-11,4.99727937267177e-09,0.9999999949814082,4.44165704022478e-82
2024-04-05,2,risk_on,4.274870052651565e-11,1.9045747444948772e-08,0.9999999809115254,6.819799498081502e-76
2024-04-08,2,risk_on,1.0630811059633564e-10,2.4214232189428283e-08,0.999999975680112,5.941386218424677e-76
2024-04-09,2,risk_on,5.854315325943232e-11,3.7118785084919835e-08,0.9999999628234952,7.910476804323388e-73
2024-04-10,2,risk_on,2.803234591315361e-10,2.7837508815743275e-08,0.9999999718820622,2.770720810420541e-76
