date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2
2023-07-10,0,risk_on,0.9999999991268851,8.72565625050328e-10,2.0046403810024383e-64
2023-07-11,0,risk_on,0.999999998115527,1.8835707450300464e-09,8.710394192337955e-67
2023-07-12,0,risk_on,0.9999999989031494,1.0976582899324296e-09,5.84277413640969e-66
2023-07-13,0,risk_on,0.9999999973970262,2.602794930871653e-09,1.0296161331652667e-66
2023-07-14,0,risk_on,0.9999999986557668,1.3436846227143983e-09,2.0329265782043582e-70
2023-07-17,0,risk_on,0.999999999145075,8.545601358600953e-10,3.993095389691904e-70
2023-07-18,0,risk_on,0.9999999991159711,8.848084123308803e-10,9.92450051856935e-72
2023-07-19,0,risk_on,0.9999999996707629,3.289534861863e-10,2.2981301822746218e-71
2023-07-20,0,risk_on,0.9999999990195647,9.805120556403485e-10,4.572663470854043e-72
2023-07-21,0,risk_on,0.9999999976971594,2.302391506141497e-09,9.768416801127998e-72
2023-07-24,0,risk_on,0.9999999979063432,2.09336161830621e-09,9.767633178798129e-73
2023-07-25,0,risk_on,0.9999999989522621,1.0474235245191516e-09,7.341122109251874e-72
2023-07-26,0,risk_on,0.9999999968404154,3.158890671081363e-09,5.5876173518272836e-77
2023-07-27,0,risk_on,0.9999999977844709,2.2156157890038817e-09,4.9239117281382646e-79
2023-07-28,0,risk_on,0.9999999993251549,6.742973335009204e-10,9.986356168522456e-88
2023-07-31,0,risk_on,0.9999999997398845,2.5935995925192515e-10,1.6841996764561108e-84
2023-08-01,0,risk_on,0.9999999995507096,4.4952502958650305e-10,2.0296799048645287e-84
2023-08-02,0,risk_on,0.9999999996744009,3.258382345150312e-10,4.5726116640238846e-95
2023-08-03,0,risk_on,0.9999999980827852,1.9172884014054216e-09,1.5142205042107563e-94
2023-08-04,0,risk_on,0.9999999859610398,1.4038549163986255e-08,3.4828417395959437e-87
2023-08-07,0,risk_on,0.9999999925930751,7.407630936384754e-09,5.13012534487713e-88
2023-08-08,0,risk_on,0.9999999952087819,4.791742909305444e-09,1.0328193709743395e-86
2023-08-09,0,risk_on,0.9999999871834007,1.2816550791663244e-08,2.024801191718429e-85
2023-08-10,0,risk_on,0.9999999937790562,6.220910685486329e-09,1.0109249206832626e-85
2023-08-11,0,risk_on,0.9999999816063794,1.839448889411489e-08,2.0240251653122495e-88
2023-08-14,0,risk_on,0.9999999954652594,4.535337594008251e-09,1.3158607038513357e-88
2023-08-15,0,risk_on,0.9999999864812708,1.3519120444352515e-08,2.740858288481902e-88
2023-08-16,0,risk_on,0.999999944995581,5.500530165209179e-08,7.377667295311695e-87
2023-08-17,0,risk_on,0.9999998153889634,1.8461101863680527e-07,1.40134911198009e-87
2023-08-18,0,risk_on,0.9999998894054504,1.1059533307030161e-07,2.5114711722590273e-89
2023-08-21,0,risk_on,0.9999999693773138,3.062307335772602e-08,1.8019543658683052e-87
2023-08-22,0,risk_on,0.9999999587726061,4.122720487601361e-08,5.626374964200985e-86
2023-08-23,0,risk_on,0.9999999801457309,1.985418415556004e-08,1.798619065147021e-94
2023-08-24,0,risk_on,0.999999915800803,8.419981516984987e-08,5.108674220471195e-94
2023-08-25,0,risk_on,0.9999999760475479,2.395165890213693e-08,4.528118445010993e-95
2023-08-28,0,risk_on,0.9999999892606866,1.0738568670204393e-08,5.034515132975782e-97
2023-08-29,0,risk_on,0.9999999960127752,3.986977711137853e-09,5.13488785897672e-101
2023-08-30,0,risk_on,0.9999999967130861,3.2860908854753702e-09,9.383661007201702e-103
2023-08-31,0,risk_on,0.9999999973224476,2.6774720384061225e-09,5.9016345609284975e-102
2023-09-01,0,risk_on,0.9999999983774615,1.621752048946594e-09,4.999185483711188e-107
2023-09-05,0,risk_on,0.9999999985611794,1.4382427207947226e-09,4.325606845482783e-110
2023-09-06,0,risk_on,0.9999999967258191,3.274968062877793e-09,4.05117500519878e-108
2023-09-07,0,risk_on,0.9999999961783033,3.821041902410376e-09,2.4872718178860422e-105
2023-09-08,0,risk_on,0.9999999965802999,3.4200116543931403e-09,5.136540385094561e-105
2023-09-11,0,risk_on,0.9999999992287485,7.71123605529028e-10,1.8218866618869036e-103
2023-09-12,0,risk_on,0.9999999992269295,7.72481850946177e-10,6.456487207402646e-101
2023-09-13,0,risk_on,0.9999999990868673,9.137315379603567e-10,8.301084939405191e-104
2023-09-14,0,risk_on,0.9999999988449417,1.1552887210262759e-09,1.328539498007421e-100
2023-09-15,0,risk_on,0.9999999949650373,5.03558172345444e-09,5.430877260567284e-97
2023-09-18,0,risk_on,0.9999999890569597,1.0943748497260278e-08,9.739561691147663e-96
2023-09-19,0,risk_on,0.999999990215656,9.785216520676118e-09,3.984794737708745e-97
2023-09-20,0,risk_on,0.999999933441361,6.655842760560849e-08,5.926447831205161e-93
2023-09-21,0,risk_on,0.9999944839298474,5.51606973038921e-06,1.1525267242159665e-95
2023-09-22,0,risk_on,0.9999995678464099,4.321539436589503e-07,6.392328389862573e-102
2023-09-25,0,risk_on,0.9999994228602946,5.771405070313288e-07,1.7635094610142627e-93
2023-09-26,0,risk_on,0.999986628969317,1.3371031564880495e-05,1.2217698856512286e-91
2023-09-27,0,risk_on,0.9999909345325984,9.065467167091177e-06,2.4421622741269925e-93
2023-09-28,0,risk_on,0.9999991158387546,8.841607256556974e-07,3.3033565222548133e-99
2023-09-29,0,risk_on,0.999998655805933,1.3441946097732469e-06,6.780803331096578e-96
2023-10-02,0,risk_on,0.9999967000912753,3.299907976602505e-06,1.122643367858299e-94
