date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2,prob_regime_3,prob_regime_4
2008-04-07,4,mixed_or_neutral_4,2.1132608356099826e-39,8.015672576474334e-13,3.6843335849099956e-62,1.0232823867983986e-30,0.9999999999990905
2008-04-08,4,mixed_or_neutral_4,3.0055569668540727e-42,1.845927373457334e-12,1.1722477447898088e-66,1.8004490088625273e-29,0.999999999998181
2008-04-09,4,mixed_or_neutral_4,5.084598409210492e-41,3.979999209825751e-11,3.821057455352233e-73,1.1077362672852044e-27,0.9999999999599822
2008-04-10,4,mixed_or_neutral_4,4.3588486278566087e-39,1.2870122156536885e-12,1.7842159319233407e-63,6.671917702436104e-27,0.9999999999990905
2008-04-11,4,mixed_or_neutral_4,5.059828526006542e-37,6.363774032369231e-12,5.947927170330589e-76,3.083627804482802e-28,0.9999999999936335
2008-04-14,4,mixed_or_neutral_4,1.2636162979236321e-37,1.476536630685317e-11,8.48845985495823e-79,3.736246193734721e-27,0.9999999999854481
2008-04-15,4,mixed_or_neutral_4,1.7299974058965867e-37,5.7407007516961726e-11,3.7758464611962964e-85,1.6124256904492884e-29,0.9999999999427018
2008-04-16,4,mixed_or_neutral_4,9.556130860014779e-47,2.5146437442644705e-09,5.4513616796789e-79,8.69478748038652e-34,0.9999999974852471
2008-04-17,4,mixed_or_neutral_4,3.998923213993605e-39,1.2842780180516034e-11,8.365805786720968e-65,4.657470994430845e-27,0.9999999999872671
2008-04-18,4,mixed_or_neutral_4,7.449079712886487e-36,4.255592504769368e-11,7.697581718842967e-66,1.207301915607232e-27,0.9999999999572537
2008-04-21,4,mixed_or_neutral_4,1.2867598355216339e-36,2.3281465292815072e-11,1.1494054069481836e-60,1.1342628992893637e-26,0.9999999999763531
2008-04-22,4,mixed_or_neutral_4,4.644921512443622e-31,7.561547132519762e-13,5.387210390429706e-58,1.4687832977485666e-22,0.9999999999990905
2008-04-23,4,mixed_or_neutral_4,2.273913563576603e-33,7.814664184455266e-12,2.6739950778281363e-57,6.102675115804951e-26,0.9999999999918145
2008-04-24,4,mixed_or_neutral_4,3.5011441222609844e-34,5.346593624535586e-12,1.6204365082966228e-57,2.2998172096967603e-25,0.999999999994543
2008-04-25,4,mixed_or_neutral_4,6.539886145487593e-36,1.023988101925374e-12,1.6106113072813648e-55,4.247346112479296e-25,0.9999999999990905
2008-04-28,4,mixed_or_neutral_4,8.276480507224404e-37,1.0629262452728878e-12,7.233846972098223e-57,3.487895831518352e-26,0.9999999999990905
2008-04-29,4,mixed_or_neutral_4,1.2479497753662285e-35,1.451949739201739e-12,8.0034943522987535e-56,4.9784932072610005e-26,0.999999999998181
2008-04-30,4,mixed_or_neutral_4,2.105042229698668e-33,3.71290671509871e-12,1.1788967059629857e-54,2.781352194173849e-23,0.999999999996362
2008-05-01,4,mixed_or_neutral_4,2.617406987556164e-34,1.9338653577718912e-13,5.303246862377707e-47,5.119531060582357e-25,1.0
2008-05-02,4,mixed_or_neutral_4,1.038103080360717e-32,6.536206649159273e-13,1.6881016538589831e-43,4.071826090331212e-28,0.9999999999990905
2008-05-05,4,mixed_or_neutral_4,5.631626069318999e-34,7.925569924147477e-13,2.745898691908628e-44,2.2813597328691306e-28,0.9999999999990905
2008-05-06,4,mixed_or_neutral_4,9.949860923473077e-32,9.784759170157635e-13,1.4845906565962897e-39,8.798942368427792e-28,0.9999999999990905
2008-05-07,4,mixed_or_neutral_4,5.4126195530276405e-31,9.605616435734896e-12,2.517126407570776e-47,6.589023855979383e-27,0.9999999999899956
2008-05-08,4,mixed_or_neutral_4,1.277665358570109e-32,1.0193378480240619e-11,2.3853661395774305e-50,3.336617728674408e-27,0.9999999999899956
2008-05-09,4,mixed_or_neutral_4,6.987289806280501e-32,9.980883651087584e-12,1.0002302491121115e-51,1.1393134776136042e-25,0.9999999999899956
2008-05-12,4,mixed_or_neutral_4,4.3312416868741767e-32,3.764793343134652e-12,2.0853230127057012e-52,8.152029213990974e-27,0.999999999996362
2008-05-13,4,mixed_or_neutral_4,8.355680452348504e-32,4.260010672683268e-12,2.4826127879964662e-51,3.480332043948545e-27,0.9999999999954525
2008-05-14,4,mixed_or_neutral_4,1.9025098967291535e-32,4.526553878369513e-12,6.893254744681344e-49,1.5064225581240065e-27,0.9999999999954525
2008-05-15,4,mixed_or_neutral_4,1.3688877111518277e-30,4.861000508257202e-12,5.084685904230608e-43,6.016858351861643e-28,0.9999999999954525
