date,regime,regime_label,prob_regime_0,prob_regime_1
2023-08-22,1,risk_on,6.598093715243001e-69,1.0
2023-08-23,1,risk_on,1.0834782851674229e-75,1.0
2023-08-24,1,risk_on,5.236991071900052e-75,1.0
2023-08-25,1,risk_on,2.207101517172942e-75,1.0
2023-08-28,1,risk_on,7.018314910933713e-77,1.0
2023-08-29,1,risk_on,1.036990604664596e-79,1.0
2023-08-30,1,risk_on,8.069609383980806e-81,1.0
2023-08-31,1,risk_on,4.248460969136807e-80,1.0
2023-09-01,1,risk_on,2.8713589808643523e-84,1.0
2023-09-05,1,risk_on,7.571810535976003e-88,1.0
2023-09-06,1,risk_on,5.171490018520585e-86,1.0
2023-09-07,1,risk_on,7.487745010206304e-84,1.0
2023-09-08,1,risk_on,3.931999180271224e-83,1.0
2023-09-11,1,risk_on,2.559264966450713e-81,1.0
2023-09-12,1,risk_on,2.15841718906509e-79,1.0
2023-09-13,1,risk_on,6.676306413901202e-82,1.0
2023-09-14,1,risk_on,4.945777524471606e-80,1.0
2023-09-15,1,risk_on,1.3885843109739924e-77,1.0
2023-09-18,1,risk_on,1.488165377639883e-76,1.0
2023-09-19,1,risk_on,2.2337191802715795e-78,1.0
2023-09-20,1,risk_on,2.092282720643709e-76,1.0
2023-09-21,1,risk_on,4.5905554864041346e-79,1.0
2023-09-22,1,risk_on,4.548146367700932e-84,1.0
2023-09-25,1,risk_on,1.377404567026329e-78,1.0
2023-09-26,1,risk_on,1.3877157574560557e-77,1.0
2023-09-27,1,risk_on,2.5382749180516855e-78,1.0
2023-09-28,1,risk_on,9.83642542237724e-83,1.0
2023-09-29,1,risk_on,1.647107309297441e-80,1.0
2023-10-02,1,risk_on,1.4012923425906655e-80,1.0
2023-10-03,1,risk_on,1.9836582290730186e-82,1.0
2023-10-04,1,risk_on,3.6640154943286834e-82,1.0
2023-10-05,1,risk_on,3.745673287466148e-80,1.0
2023-10-06,1,risk_on,1.4982630826325568e-78,1.0
2023-10-09,1,risk_on,6.500870491287244e-68,1.0
2023-10-10,1,risk_on,1.8061827801119536e-79,1.0
2023-10-11,1,risk_on,2.3323826795733166e-80,1.0
